"FSC.A","sample_type","diameter","replicate"
40835.6484,"beads",10,"FC-PT79"
39099.6992,"beads",10,"FC-PT79"
41175.0273,"beads",10,"FC-PT79"
39762.8398,"beads",10,"FC-PT79"
38911.5469,"beads",10,"FC-PT79"
39804.7305,"beads",10,"FC-PT79"
40998.2383,"beads",10,"FC-PT79"
41068.5273,"beads",10,"FC-PT79"
38831.3203,"beads",10,"FC-PT79"
38390.4102,"beads",10,"FC-PT79"
40252.7383,"beads",10,"FC-PT79"
42288.3086,"beads",10,"FC-PT79"
39910.5195,"beads",10,"FC-PT79"
40152.6289,"beads",10,"FC-PT79"
40274.0391,"beads",10,"FC-PT79"
40534.6094,"beads",10,"FC-PT79"
39958.0898,"beads",10,"FC-PT79"
39559.0703,"beads",10,"FC-PT79"
39324.0586,"beads",10,"FC-PT79"
41192.0703,"beads",10,"FC-PT79"
39561.9102,"beads",10,"FC-PT79"
40138.4297,"beads",10,"FC-PT79"
39662.0195,"beads",10,"FC-PT79"
39321.9297,"beads",10,"FC-PT79"
41224.0195,"beads",10,"FC-PT79"
40534.6094,"beads",10,"FC-PT79"
39997.1406,"beads",10,"FC-PT79"
39728.7578,"beads",10,"FC-PT79"
39646.3984,"beads",10,"FC-PT79"
40431.6602,"beads",10,"FC-PT79"
40524.668,"beads",10,"FC-PT79"
40165.4102,"beads",10,"FC-PT79"
40440.8906,"beads",10,"FC-PT79"
40821.4492,"beads",10,"FC-PT79"
38625.418,"beads",10,"FC-PT79"
40733.4102,"beads",10,"FC-PT79"
39811.1172,"beads",10,"FC-PT79"
38655.9492,"beads",10,"FC-PT79"
40624.0703,"beads",10,"FC-PT79"
39422.0391,"beads",10,"FC-PT79"
38258.3477,"beads",10,"FC-PT79"
39196.2578,"beads",10,"FC-PT79"
39277.1992,"beads",10,"FC-PT79"
39395.7695,"beads",10,"FC-PT79"
39768.5195,"beads",10,"FC-PT79"
39705.3281,"beads",10,"FC-PT79"
40034.7695,"beads",10,"FC-PT79"
40130.6172,"beads",10,"FC-PT79"
39282.8789,"beads",10,"FC-PT79"
40915.8789,"beads",10,"FC-PT79"
40990.4297,"beads",10,"FC-PT79"
40483.4883,"beads",10,"FC-PT79"
39524.9883,"beads",10,"FC-PT79"
39350.3281,"beads",10,"FC-PT79"
39520.0195,"beads",10,"FC-PT79"
38831.3203,"beads",10,"FC-PT79"
40607.7383,"beads",10,"FC-PT79"
39144.4297,"beads",10,"FC-PT79"
40216.5273,"beads",10,"FC-PT79"
39989.3281,"beads",10,"FC-PT79"
41446.25,"beads",10,"FC-PT79"
40871.8594,"beads",10,"FC-PT79"
40609.8672,"beads",10,"FC-PT79"
39663.4375,"beads",10,"FC-PT79"
40541.707,"beads",10,"FC-PT79"
39936.7891,"beads",10,"FC-PT79"
40554.4883,"beads",10,"FC-PT79"
39223.9492,"beads",10,"FC-PT79"
38790.8477,"beads",10,"FC-PT79"
39281.457,"beads",10,"FC-PT79"
39418.4883,"beads",10,"FC-PT79"
41860.1797,"beads",10,"FC-PT79"
41064.2695,"beads",10,"FC-PT79"
40478.5195,"beads",10,"FC-PT79"
40445.8594,"beads",10,"FC-PT79"
40286.1094,"beads",10,"FC-PT79"
39879.2773,"beads",10,"FC-PT79"
40962.0273,"beads",10,"FC-PT79"
40890.3203,"beads",10,"FC-PT79"
40185.2891,"beads",10,"FC-PT79"
39418.4883,"beads",10,"FC-PT79"
40179.6094,"beads",10,"FC-PT79"
40007.0781,"beads",10,"FC-PT79"
40879.668,"beads",10,"FC-PT79"
40604.1875,"beads",10,"FC-PT79"
41131.0078,"beads",10,"FC-PT79"
42352.207,"beads",10,"FC-PT79"
41053.6172,"beads",10,"FC-PT79"
40384.7969,"beads",10,"FC-PT79"
38402.4805,"beads",10,"FC-PT79"
39894.1875,"beads",10,"FC-PT79"
40010.6289,"beads",10,"FC-PT79"
40419.5898,"beads",10,"FC-PT79"
39330.4492,"beads",10,"FC-PT79"
40698.6172,"beads",10,"FC-PT79"
41656.4102,"beads",10,"FC-PT79"
40553.7773,"beads",10,"FC-PT79"
39605.2188,"beads",10,"FC-PT79"
39701.0703,"beads",10,"FC-PT79"
40008.5,"beads",10,"FC-PT79"
40283.9805,"beads",10,"FC-PT79"
40714.9492,"beads",10,"FC-PT79"
40729.1484,"beads",10,"FC-PT79"
41091.957,"beads",10,"FC-PT79"
40560.168,"beads",10,"FC-PT79"
40444.4375,"beads",10,"FC-PT79"
40594.957,"beads",10,"FC-PT79"
40127.7773,"beads",10,"FC-PT79"
38455.0195,"beads",10,"FC-PT79"
40511.1797,"beads",10,"FC-PT79"
41329.0977,"beads",10,"FC-PT79"
40788.7891,"beads",10,"FC-PT79"
40408.9375,"beads",10,"FC-PT79"
38621.1602,"beads",10,"FC-PT79"
38857.5898,"beads",10,"FC-PT79"
40659.5703,"beads",10,"FC-PT79"
38854.75,"beads",10,"FC-PT79"
37715.9102,"beads",10,"FC-PT79"
38528.8594,"beads",10,"FC-PT79"
39941.7578,"beads",10,"FC-PT79"
39267.2578,"beads",10,"FC-PT79"
38910.8398,"beads",10,"FC-PT79"
39172.1172,"beads",10,"FC-PT79"
39990.75,"beads",10,"FC-PT79"
41087.6992,"beads",10,"FC-PT79"
39478.8398,"beads",10,"FC-PT79"
41032.3203,"beads",10,"FC-PT79"
41029.4805,"beads",10,"FC-PT79"
39586.7578,"beads",10,"FC-PT79"
41029.4805,"beads",10,"FC-PT79"
38572.168,"beads",10,"FC-PT79"
40420.2969,"beads",10,"FC-PT79"
38374.0781,"beads",10,"FC-PT79"
40355.6875,"beads",10,"FC-PT79"
41197.0391,"beads",10,"FC-PT79"
41254.5469,"beads",10,"FC-PT79"
38579.2695,"beads",10,"FC-PT79"
40586.4375,"beads",10,"FC-PT79"
40242.7969,"beads",10,"FC-PT79"
39660.5977,"beads",10,"FC-PT79"
40055.3594,"beads",10,"FC-PT79"
42121.457,"beads",10,"FC-PT79"
39023.7305,"beads",10,"FC-PT79"
38914.3906,"beads",10,"FC-PT79"
39186.3203,"beads",10,"FC-PT79"
39388.668,"beads",10,"FC-PT79"
39538.4805,"beads",10,"FC-PT79"
40558.0391,"beads",10,"FC-PT79"
40058.9102,"beads",10,"FC-PT79"
40012.0469,"beads",10,"FC-PT79"
40711.3984,"beads",10,"FC-PT79"
42821.5195,"beads",10,"FC-PT79"
42242.1602,"beads",10,"FC-PT79"
41779.2383,"beads",10,"FC-PT79"
41045.0977,"beads",10,"FC-PT79"
38556.5508,"beads",10,"FC-PT79"
41216.918,"beads",10,"FC-PT79"
40319.4805,"beads",10,"FC-PT79"
40469.2891,"beads",10,"FC-PT79"
37959.4375,"beads",10,"FC-PT79"
40767.4883,"beads",10,"FC-PT79"
40646.0781,"beads",10,"FC-PT79"
40983.3281,"beads",10,"FC-PT79"
40305.9883,"beads",10,"FC-PT79"
40783.1094,"beads",10,"FC-PT79"
40079.5,"beads",10,"FC-PT79"
38352.7773,"beads",10,"FC-PT79"
41260.2305,"beads",10,"FC-PT79"
41008.8906,"beads",10,"FC-PT79"
41302.1172,"beads",10,"FC-PT79"
40854.1094,"beads",10,"FC-PT79"
39342.5195,"beads",10,"FC-PT79"
40774.5898,"beads",10,"FC-PT79"
39318.3789,"beads",10,"FC-PT79"
41361.7578,"beads",10,"FC-PT79"
41191.3594,"beads",10,"FC-PT79"
40365.6289,"beads",10,"FC-PT79"
39160.0469,"beads",10,"FC-PT79"
40700.75,"beads",10,"FC-PT79"
41228.2773,"beads",10,"FC-PT79"
40013.4688,"beads",10,"FC-PT79"
39570.4297,"beads",10,"FC-PT79"
41035.1602,"beads",10,"FC-PT79"
41495.9492,"beads",10,"FC-PT79"
39839.5195,"beads",10,"FC-PT79"
40235.6992,"beads",10,"FC-PT79"
40992.5586,"beads",10,"FC-PT79"
38707.0703,"beads",10,"FC-PT79"
39415.6484,"beads",10,"FC-PT79"
39343.2305,"beads",10,"FC-PT79"
40487.75,"beads",10,"FC-PT79"
40972.6797,"beads",10,"FC-PT79"
40853.3984,"beads",10,"FC-PT79"
40248.4805,"beads",10,"FC-PT79"
37625.7383,"beads",10,"FC-PT79"
39479.5469,"beads",10,"FC-PT79"
39748.6406,"beads",10,"FC-PT79"
40986.8789,"beads",10,"FC-PT79"
38618.3203,"beads",10,"FC-PT79"
40044.707,"beads",10,"FC-PT79"
39950.9883,"beads",10,"FC-PT79"
41153.0195,"beads",10,"FC-PT79"
40933.6289,"beads",10,"FC-PT79"
40890.3203,"beads",10,"FC-PT79"
39392.9297,"beads",10,"FC-PT79"
39098.9883,"beads",10,"FC-PT79"
40844.8789,"beads",10,"FC-PT79"
40986.8789,"beads",10,"FC-PT79"
42100.8672,"beads",10,"FC-PT79"
39487.3594,"beads",10,"FC-PT79"
40894.5781,"beads",10,"FC-PT79"
40313.0898,"beads",10,"FC-PT79"
41995.0781,"beads",10,"FC-PT79"
40858.3672,"beads",10,"FC-PT79"
38986.0977,"beads",10,"FC-PT79"
39363.8203,"beads",10,"FC-PT79"
41850.9492,"beads",10,"FC-PT79"
39929.6875,"beads",10,"FC-PT79"
40450.1172,"beads",10,"FC-PT79"
41868.6992,"beads",10,"FC-PT79"
39020.8906,"beads",10,"FC-PT79"
40827.8398,"beads",10,"FC-PT79"
40477.8086,"beads",10,"FC-PT79"
41421.3984,"beads",10,"FC-PT79"
42431.0195,"beads",10,"FC-PT79"
38746.8281,"beads",10,"FC-PT79"
39754.3203,"beads",10,"FC-PT79"
40719.207,"beads",10,"FC-PT79"
39819.6406,"beads",10,"FC-PT79"
38534.5391,"beads",10,"FC-PT79"
41088.4102,"beads",10,"FC-PT79"
41668.4805,"beads",10,"FC-PT79"
38325.8008,"beads",10,"FC-PT79"
37944.5273,"beads",10,"FC-PT79"
41251,"beads",10,"FC-PT79"
40902.3906,"beads",10,"FC-PT79"
38782.3281,"beads",10,"FC-PT79"
39412.0977,"beads",10,"FC-PT79"
38239.1797,"beads",10,"FC-PT79"
41043.6797,"beads",10,"FC-PT79"
40525.3789,"beads",10,"FC-PT79"
39389.3789,"beads",10,"FC-PT79"
39865.0781,"beads",10,"FC-PT79"
41509.4375,"beads",10,"FC-PT79"
38248.4102,"beads",10,"FC-PT79"
38904.4492,"beads",10,"FC-PT79"
43234.7383,"beads",10,"FC-PT79"
39130.2305,"beads",10,"FC-PT79"
39914.0703,"beads",10,"FC-PT79"
37832.3477,"beads",10,"FC-PT79"
39176.3789,"beads",10,"FC-PT79"
37414.8672,"beads",10,"FC-PT79"
48877.8203,"beads",10,"FC-PT79"
41035.8672,"beads",10,"FC-PT79"
40805.8281,"beads",10,"FC-PT79"
