"cell_type","replicate","stim_type","stim_level","stim_unit","FSC.A","diameter","volume","phospho_STAT","total_STAT","receptor","whole_cell_phospho_STAT","whole_cell_total_STAT","whole_cell_receptor"
"BJ","FC-PT79","OSM",10,"ng/mL",96760.9296875,17.5172346969779,671.9031,39.33594013489,6.47066549235188,3.3423637918375,4.99656419678831,0.845694372483198,0.429357277893628
"BJ","FC-PT79","OSM",10,"ng/mL",96787.1953125,17.5224523477794,672.5037,22.4627016259636,4.04395248886209,7.88210267177051,2.85582741913327,0.529003529185563,1.01343344328771
"BJ","FC-PT79","OSM",10,"ng/mL",96835.4765625,17.5320433894072,673.6086,21.2939436363898,3.78290226870101,2.67660617935908,2.71168360840786,0.495667668242002,0.344707367365182
"BJ","FC-PT79","OSM",10,"ng/mL",96843.2890625,17.5335953378907,673.7875,12.9810456544301,2.42053761944979,3.3142139487913,1.65351416470217,0.3172434274113,0.426935193803667
"BJ","FC-PT79","OSM",10,"ng/mL",96848.96875,17.5347236044381,673.9176,22.6690848283641,4.34069338021598,4.17562779189207,2.88812561719044,0.569015051332008,0.538005907194142
"BJ","FC-PT79","OSM",0,"ng/mL",96904.34375,17.545723815289,675.1867,7.75523661909875,7.71924965582596,6.36965420267811,0.989906610500507,1.01381056492558,0.822239243745023
"BJ","FC-PT79","OSM",10,"ng/mL",96904.34375,17.545723815289,675.1867,17.3372840718934,3.00783681280049,1.11756383759519,2.21299400054758,0.395035382239226,0.144262909009205
"BJ","FC-PT79","OSM",10,"ng/mL",96993.8046875,17.5634951773732,677.2404,48.3481061558758,8.45992409409106,3.1728910896897,6.19009931641874,1.1144668906145,0.410824645134571
"BJ","FC-PT79","OSM",0,"ng/mL",97133.6796875,17.5912812630212,680.4597,4.64879310731973,3.78021966576347,4.70657990991698,0.598023045558531,0.50035390455916,0.612302894128289
"BJ","FC-PT79","OSM",0,"ng/mL",97437.5546875,17.6516458512342,687.4888,3.76438485562688,5.46268072090826,3.08979759421102,0.489254622368933,0.730515259214254,0.406119763148938
"BJ","FC-PT79","OSM",10,"ng/mL",97478.734375,17.6598261716905,688.4451,25.2279534364887,6.09044733687766,3.79007182749905,3.28342141543962,0.8155983757248,0.498856022795049
"BJ","FC-PT79","OSM",10,"ng/mL",97515.65625,17.6671606802234,689.3032,32.1375607109897,6.32080611076763,5.54794662312294,4.18792116008774,0.847501762479918,0.731140825700258
