"cell_type","replicate","stim_type","stim_level","stim_unit","time","merged_nuclei","nuclearity","response"
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.484
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.0423
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5727
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3389
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6409
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6333
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3835
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.9331
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.9146
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.892
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5606
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.1542
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.9001
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3775
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6716
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5657
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2821
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.1303
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5577
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8626
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2586
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6133
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4302
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4774
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5866
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7722
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.9942
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3415
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6732
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",2.4429
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3872
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6705
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4241
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7131
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2505
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.511
